# #pts: 33353; ranges: 66,71
0,4,60
1,1,59
2,4,59
3,31,65
4,18,62
5,0,57
6,3,60
7,2,59
8,2,57
9,31,65
10,0,58
11,6,61
12,1,59
13,0,57
14,21,64
15,0,58
16,16,62
17,33,65
18,0,59
19,0,57
20,2,59
21,6,60
22,2,59
23,22,64
24,6,57
25,0,53
26,0,59
27,1,57
28,7,61
29,23,64
30,0,53
31,11,61
32,2,60
33,0,58
34,3,61
35,2,59
36,2,61
37,3,58
38,9,62
39,1,55
40,16,61
41,1,59
42,0,58
43,1,57
44,9,60
45,2,58
46,0,53
47,36,66
48,7,61
49,0,59
50,2,56
51,0,49
52,0,58
53,4,60
54,1,59
55,1,58
56,0,59
57,0,58
58,0,58
59,30,65
60,0,55
61,0,9
62,2,60
63,0,59
64,1,58
65,8,61
66,0,58
67,0,56
68,0,59
69,40,67
70,3,60
71,0,54
72,0,54
73,22,64
74,6,60
75,1,58
76,11,60
77,0,54
78,9,62
79,0,51
80,1,59
81,27,64
82,0,54
83,0,57
84,17,62
85,0,57
86,5,61
87,10,62
88,0,59
89,0,59
90,16,62
91,3,61
92,1,59
93,0,59
94,4,61
95,1,59
96,0,55
97,8,57
98,2,61
99,21,63
100,0,59
101,6,62
102,10,61
103,12,62
104,0,56
105,1,59
106,15,61
107,7,59
108,4,59
109,5,61
110,0,57
111,1,56
112,0,54
113,5,61
114,0,52
115,0,56
116,7,61
117,11,61
118,5,60
119,11,61
120,0,59
121,15,63
122,29,65
123,1,57
124,0,53
125,1,59
126,3,60
127,12,62
128,30,65
129,0,58
130,29,65
131,25,64
132,1,57
133,16,62
134,0,51
135,22,64
136,37,66
137,5,61
138,12,61
139,14,62
140,2,60
141,4,61
142,22,64
143,1,58
144,0,52
145,0,57
146,0,53
147,36,66
148,5,61
149,1,59
150,0,53
151,0,58
152,0,56
153,0,60
154,12,62
155,0,50
156,5,60
157,0,55
158,6,61
159,28,64
160,1,57
161,37,66
162,2,59
163,0,55
164,4,60
165,3,60
166,19,63
167,4,59
168,33,66
169,0,59
170,0,53
171,0,57
172,0,59
173,1,58
174,0,58
175,20,63
176,28,65
177,3,61
178,0,57
179,0,59
180,2,55
181,8,57
182,6,59
183,4,59
184,12,62
185,0,56
186,4,61
187,0,55
188,5,60
189,1,55
190,23,63
191,0,57
192,9,61
193,1,59
194,16,62
195,0,58
196,1,59
197,1,59
198,12,63
199,15,63
200,8,61
201,3,61
202,0,58
203,0,58
204,0,58
205,5,58
206,1,57
207,1,58
208,0,58
209,1,59
210,18,62
211,7,62
212,1,57
213,12,62
214,16,62
215,19,62
216,0,51
217,0,59
218,0,57
219,11,62
220,7,61
221,30,65
222,16,63
223,20,63
224,0,52
225,30,65
226,29,65
227,6,61
228,13,62
229,1,59
230,1,59
231,0,51
232,2,60
233,6,59
234,0,53
235,13,62
236,0,53
237,2,60
238,0,55
239,8,61
240,0,59
241,1,57
242,0,59
243,2,59
244,11,62
245,0,58
246,38,67
247,38,66
248,1,56
249,2,59
250,0,52
251,21,63
252,5,60
253,1,60
254,0,54
255,11,62
256,1,60
257,0,59
258,4,59
259,13,62
260,3,60
261,19,64
262,0,58
263,20,64
264,0,59
265,0,59
266,30,65
267,1,57
268,9,61
269,10,61
270,0,56
271,5,60
272,3,59
273,6,61
274,0,57
275,36,66
276,51,68
277,16,63
278,0,58
279,0,56
280,8,62
281,48,67
282,13,62
283,32,65
284,4,61
285,0,56
286,3,60
287,2,61
288,1,59
289,5,60
290,5,61
291,5,60
292,5,60
293,4,60
294,0,59
295,10,62
296,3,60
297,27,65
298,3,61
299,46,68
300,4,60
301,1,56
302,0,58
303,20,63
304,41,67
305,0,59
306,0,58
307,0,56
308,0,54
309,10,61
310,1,58
311,1,60
312,0,50
313,1,59
314,1,57
315,28,65
316,22,64
317,0,59
318,1,58
319,0,54
320,0,59
321,0,55
322,9,62
323,0,54
324,8,61
325,0,58
326,1,59
327,4,60
328,3,59
329,0,57
330,7,61
331,1,59
332,19,64
333,0,57
334,16,63
