# 66,71
# 1,2,3,4,5,6,7,8,9,10,11,12,14,16,18,20,22,25,28,31,35,39,44,50,56,63,70,79,89,100,112,125,141,158,177,199,223,251,281,316,354,398,446,501,562,630,707,794,891,1000,1122,1258,1412,1584,1778,1995,2238,2511,2818,3162,3548,3981,4466,5011,5623,6309
# 1.3235556217579e-20,2.458301003631969e-20,4.565916025827136e-20,8.48048677688535e-20,1.575119988324772e-19,2.9255431237538636e-19,5.433746401787592e-19,1.009234822731114e-18,1.8744984621991704e-18,3.4815925943561866e-18,6.466522772632663e-18,1.2010571494425452e-17,2.2307789316571932e-17,4.143328770188269e-17,7.695595943752653e-17,1.429338587746461e-16,2.6547765934613267e-16,4.930839215851573e-16,9.158275476913098e-16,1.701008814917161e-15,3.159362257359365e-15,5.868029480912998e-15,1.0898962253744288e-14,2.024314611828796e-14,3.7598530504642965e-14,6.98334877320008e-14,1.297049630227785e-13,2.4090702010048865e-13,4.474477381679281e-13,8.310653558708374e-13,1.5435760800952172e-12,2.866955165692661e-12,5.324928280557989e-12,9.890235303430594e-12,1.8369590950992945e-11,3.4118689935491817e-11,6.337021907672404e-11,1.177004355508562e-10,2.1861045662614035e-10,4.060353007414351e-10,7.541481226130605e-10,1.4007141492433362e-09,2.6016111014004995e-09,4.83209249123857e-09,8.974868623259977e-09,1.6669438126613723e-08,3.096091754890474e-08,5.7505142536247304e-08,1.0680695792980746e-07,1.9837749736954494e-07,3.684556907656396e-07,6.843497768534029e-07,1.2710744570293257e-06,2.3608253117886117e-06,4.384869920057882e-06,8.144221480437098e-06,1.5126638812933633e-05,2.8095405107360832e-05,5.218289389390364e-05,9.692169964222977e-05,0.00018001715046003092,0.0003343541702154534,0.0006210114472692181,0.0011534332513062446,0.002142324865457965,0.00397903894652065,0.007390452864180206,0.013726629538378537,0.025495103202283518,0.04735323303348027,0.08795134739922254
30,65,153
13,55,1
28,62,4
48,67,6
29,63,3
3,52,7
0,7,3
38,67,58
46,67,40
4,55,8
9,59,17
9,62,129
47,68,56
25,62,3
10,61,206
17,63,194
33,65,85
2,48,1
1,56,285
32,64,18
21,64,116
12,59,8
54,69,5
17,64,9
30,66,17
13,58,2
12,63,27
4,57,35
3,51,1
8,60,102
5,60,388
4,52,1
9,57,3
0,55,863
45,65,1
10,62,139
1,54,95
0,58,2277
16,63,202
15,59,3
11,54,1
11,63,7
2,53,22
1,59,1387
17,62,148
53,67,3
34,64,5
18,61,7
64,69,1
13,61,103
36,67,8
3,61,144
57,69,9
7,54,2
32,63,2
8,57,4
24,62,7
46,66,1
19,60,4
52,67,2
0,52,426
6,60,265
20,63,193
25,63,19
51,68,30
1,49,11
16,60,7
21,62,34
3,53,9
11,58,3
2,54,27
32,60,1
0,42,5
22,61,4
46,68,44
12,61,172
37,65,16
18,62,91
42,67,93
45,68,25
39,66,63
53,69,4
3,56,28
44,66,5
41,64,1
14,63,77
62,69,2
10,54,1
15,62,212
16,59,4
56,69,9
19,59,2
10,57,2
9,55,1
0,49,191
5,54,3
6,57,4
0,0,1
29,66,4
51,67,4
1,60,407
23,65,5
7,60,177
50,67,3
7,57,8
2,59,842
22,62,18
28,63,10
52,68,22
23,63,84
48,68,36
29,62,1
3,55,21
41,67,101
38,64,1
5,56,7
59,69,7
9,61,265
15,61,44
6,55,1
5,53,4
10,58,2
52,69,4
30,63,7
33,64,13
6,58,14
2,49,2
4,54,2
32,65,102
40,67,85
2,60,737
1,44,2
35,66,126
4,58,89
44,68,11
8,61,295
25,65,37
0,8,5
5,59,112
19,64,57
9,56,1
24,64,219
0,1,1
31,63,2
40,66,40
1,53,83
0,59,1350
11,62,288
2,50,5
1,58,977
0,46,39
50,66,1
53,66,1
58,69,4
34,65,56
1,47,5
55,67,2
