# hpos-1,hpos-2,avgfeat-1,avgfeat-2,#npts
30,65,117.49019607843137,0.005666189774805292,153
13,55,16.0,1.3138441047396586e-05,1
28,62,92.0,0.001060192423119459,4
48,67,944.0,0.01797802569457714,6
29,63,105.0,0.0018574126791466312,3
3,52,4.0,1.7752603431169083e-06,7
0,7,1.0,7.088096234058941e-19,3
38,67,300.2586206896552,0.014998585142707565,58
46,67,742.9,0.021411907698574352,40
4,55,5.0,1.0535145803586555e-05,8
9,59,10.0,0.0001477315847637146,17
9,62,10.0,0.0007431115445849892,129
47,68,841.2142857142857,0.0306951982894506,56
25,62,67.33333333333333,0.0010633658948968642,3
10,61,11.0,0.00048481401188420756,206
17,63,26.061855670103093,0.001480672163542763,194
33,65,165.91764705882352,0.006198533684659669,85
2,48,3.0,1.8882405178378105e-07,1
1,56,2.0,2.1444671389118742e-05,285
32,64,146.38888888888889,0.0034495096587038275,18
21,64,41.0,0.002521150264207861,116
12,59,14.75,0.00015091636781264575,8
54,69,1933.0,0.05203695415830885,5
17,64,26.22222222222222,0.0023466418711383043,9
30,66,118.23529411764706,0.007975706011962753,17
13,58,16.0,7.137033744958853e-05,2
12,63,14.666666666666666,0.0012746797669023677,27
4,57,5.0,3.872848920071058e-05,35
3,51,4.0,8.97092608758032e-07,1
8,60,9.0,0.00027240164067709034,102
5,60,6.0,0.0002582115432606928,388
4,52,5.0,1.9847885368072e-06,1
9,57,10.0,3.909366293453444e-05,3
0,55,1.0,1.1389799041619414e-05,863
45,65,676.0,0.006544366398658891,1
10,62,11.0,0.0007807234019608914,139
1,54,2.0,6.182778376698615e-06,95
0,58,1.0,7.251967217275896e-05,2277
16,63,23.024752475247524,0.0014557347797356196,202
15,59,20.666666666666668,0.0001159592041459533,3
11,54,12.0,7.024231670816005e-06,1
11,63,12.571428571428571,0.0012099904514633884,7
2,53,3.0,3.1974478354303233e-06,22
1,59,2.0,0.0001327393548594423,1387
17,62,25.85810810810811,0.0009237520362524561,148
53,67,1670.0,0.021542805535612997,3
34,64,185.6,0.003431315403053707,5
18,61,29.142857142857142,0.0004887464797728335,7
64,69,5782.0,0.07885002398012586,1
13,61,16.49514563106796,0.0005031409045581521,103
36,67,243.625,0.014672943100590597,8
3,61,4.0,0.0003795086181800512,144
57,69,2617.6666666666665,0.06246209883114178,9
7,54,8.0,6.283985288995996e-06,2
32,63,151.5,0.0018542727955155806,2
8,57,9.0,3.997709996824138e-05,4
24,62,58.0,0.0009946289617656372,7
46,66,775.0,0.012692587268954066,1
19,60,33.0,0.0002604288792618764,4
52,67,1535.5,0.017408095759970845,2
0,52,1.0,1.7556652597022965e-06,426
6,60,7.0,0.00026194891247701427,265
20,63,36.409326424870464,0.0016957644015032573,193
25,63,65.73684210526316,0.0017466423479448896,19
51,68,1339.1333333333334,0.037754753823966834,30
1,49,2.0,2.9852179452617094e-07,11
16,60,23.285714285714285,0.0002632371619142399,7
21,62,40.64705882352941,0.0009308930904518127,34
3,53,4.0,3.08710995895291e-06,9
11,58,13.0,6.609493968389014e-05,3
2,54,3.0,6.336078493828096e-06,27
32,60,146.0,0.00023733776572273046,1
0,42,1.0,3.9596601355754016e-09,5
22,61,46.75,0.00048804265407900174,4
46,68,747.9090909090909,0.02889086017529746,44
12,61,14.44186046511628,0.0004990890814446498,172
37,65,264.9375,0.006244629492790962,16
18,62,28.978021978021978,0.0009596583719432193,91
42,67,473.6236559139785,0.01869904840437209,93
45,68,669.52,0.027635525579683278,25
39,66,333.8412698412698,0.010992775165877012,63
53,69,1661.75,0.049972661035784176,4
3,56,4.0,2.2267433769307832e-05,28
44,66,589.4,0.010618043895018405,5
41,64,408.0,0.003557258509346732,1
14,63,18.545454545454547,0.0013589812534708814,77
62,69,4606.0,0.08519256992217109,2
10,54,11.0,7.4752193588695455e-06,1
15,62,20.5188679245283,0.0009156330893576199,212
16,59,22.5,0.00012309944655139292,4
56,69,2386.3333333333335,0.05497518279983215,9
19,59,33.5,0.0001446198081405656,2
10,57,11.0,3.3600843978259855e-05,2
9,55,10.0,9.354038675858484e-06,1
0,49,1.0,2.8196409584901415e-07,191
5,54,6.0,6.062150802548459e-06,3
6,57,7.0,4.269735182756221e-05,4
0,0,1.0,1.3235556217578895e-20,1
29,66,106.5,0.007767715808803241,4
51,67,1342.25,0.023334441069799018,4
1,60,2.0,0.00021079705031233186,407
23,65,54.0,0.0043449539747724775,5
7,60,8.0,0.0002675633950965714,177
50,67,1158.0,0.019720167041211503,3
7,57,8.0,4.42782121403304e-05,8
2,59,3.0,0.00013857236495128808,842
22,62,45.888888888888886,0.000989369510709684,18
28,63,94.2,0.001745726314247228,10
52,68,1470.090909090909,0.039040208793863135,22
23,63,51.61904761904762,0.0017511382752810392,84
48,68,945.4722222222222,0.032145985381469705,36
29,62,105.0,0.0009811392506373549,1
3,55,4.0,1.09345749653332e-05,21
41,67,421.2970297029703,0.01770870365258295,101
38,64,298.0,0.003256873949758148,1
5,56,6.0,2.2170241046108952e-05,7
59,69,3364.5714285714284,0.0653653130557132,7
9,61,10.0,0.00047382809714253255,265
15,61,20.363636363636363,0.0004945215450371152,44
6,55,7.0,1.507478029804096e-05,1
5,53,6.0,3.3346190340562553e-06,4
10,58,11.0,8.793807256025373e-05,2
52,69,1479.25,0.049295954877999676,4
30,63,116.57142857142857,0.0016458775633095223,7
33,64,164.84615384615384,0.0034487241554814084,13
6,58,7.0,8.350830955871941e-05,14
2,49,3.0,2.9145916396766915e-07,2
4,54,5.0,6.872383545009237e-06,2
32,65,148.33333333333334,0.0059408736085567295,102
40,67,376.05882352941177,0.01657711426556106,85
2,60,3.0,0.00023400320118357443,737
1,44,2.0,1.0934128833173902e-08,2
35,66,209.83333333333334,0.009704510356568727,126
4,58,5.0,7.613314358676346e-05,89
44,68,601.1818181818181,0.027238835401579828,11
8,61,9.0,0.00046440845780496996,295
25,65,66.32432432432432,0.004442706203421489,37
0,8,1.0,1.4983030864124736e-18,5
5,59,6.0,0.00013947442239549936,112
19,64,33.0,0.0023775508621715177,57
9,56,10.0,2.6617648028414156e-05,1
24,64,58.89497716894977,0.003016170943891589,219
0,1,1.0,2.280602843997086e-20,1
31,63,134.5,0.0019312231509462277,2
40,66,373.425,0.011546042132596825,40
1,53,2.0,3.320093134433005e-06,83
0,59,1.0,0.00011922301330634047,1350
11,62,12.559027777777779,0.0007875021097770271,288
2,50,3.0,5.498193322911258e-07,5
1,58,2.0,7.498838780577266e-05,977
0,46,1.0,4.640985252715005e-08,39
50,66,1172.0,0.01297276320464031,1
53,66,1738.0,0.01152786079662527,1
58,69,2992.75,0.06718216726837517,4
34,65,187.51785714285714,0.005994929654476853,56
1,47,2.0,8.698611212844944e-08,5
55,67,2168.5,0.02229239491002201,2
13,60,16.3,0.0002743735879317836,10
3,60,4.0,0.0002479421138872803,678
3,49,4.0,3.406400270377061e-07,1
5,49,6.0,3.1757218859278923e-07,1
0,5,1.0,2.8115651544910762e-19,3
49,66,1028.0,0.01096408504725246,1
36,64,249.0,0.0026447567422799275,1
0,2,1.0,2.545376031281581e-20,1
24,63,59.05357142857143,0.0017687064110868268,56
5,62,6.0,0.0006785537112452738,14
19,63,32.50375939849624,0.0016254229805078362,266
27,65,83.65873015873017,0.004744111564863228,126
0,53,1.0,3.285221720075485e-06,514
6,61,7.0,0.00044887012997303345,353
45,67,664.6296296296297,0.021788514827031254,54
26,64,73.86470588235294,0.0032056714860777998,170
1,48,2.0,1.4721269009566324e-07,2
0,56,1.0,2.2116529627142767e-05,1312
16,61,22.818181818181817,0.0005027926796948674,44
21,61,41.25,0.0004638801908546005,4
11,61,12.457564575645756,0.0004941047421935371,271
2,55,3.0,1.1304440237728356e-05,59
4,53,5.0,3.7990721600579332e-06,4
35,65,210.8,0.006155115143363638,40
12,62,14.504451038575668,0.0008450386654506485,337
37,64,278.0,0.0033834803231415343,1
34,66,186.4179104477612,0.009289380693954874,134
18,63,28.844919786096256,0.001566398008745285,187
9,58,10.0,8.764880551100861e-05,4
0,43,1.0,7.155045592373118e-09,7
13,63,16.603448275862068,0.001296398876005613,58
36,65,235.23076923076923,0.006331485225302549,26
3,59,4.0,0.0001393022224759508,476
44,67,585.24,0.0209289254529699,50
33,63,172.0,0.0015617305408452146,1
14,60,18.285714285714285,0.00029409925681175267,7
4,60,5.0,0.00025414380536962225,556
43,68,546.0,0.026348714994458945,3
17,60,26.0,0.00028725106021111857,3
54,68,1861.125,0.04166744736058697,16
47,67,837.4545454545455,0.021531615098818447,22
0,50,1.0,5.219759923697819e-07,308
6,62,7.0,0.00068046157000358,33
20,61,36.0,0.0006135514050292459,1
29,65,105.15606936416185,0.005316149776724826,173
1,51,2.0,9.818440813361202e-07,35
23,64,52.5,0.0028590608776243222,182
16,58,22.0,8.392577166930346e-05,1
31,66,134.94,0.008145787286607573,50
28,64,93.69767441860465,0.003251584826859934,86
2,56,3.0,2.2220286965744543e-05,64
17,59,25.0,0.00017658536848914492,1
22,63,46.13008130081301,0.0017656176802241343,123
37,67,269.34615384615387,0.014767794284668968,26
23,62,52.5,0.000924379639462391,12
55,69,2166.714285714286,0.05598973303606621,7
29,61,102.0,0.000598058074106172,1
3,54,4.0,6.369905971870025e-06,14
56,68,2424.0,0.04665544966676029,1
41,66,418.5238095238095,0.011083108945496738,21
5,50,6.0,3.996105563125752e-07,2
38,65,301.5,0.0056936745907301,6
0,4,1.0,1.1895393508297584e-19,2
4,49,5.0,3.2871587497741293e-07,1
43,67,528.025641025641,0.020351589635107914,78
9,60,10.0,0.00027301401094973447,96
15,60,20.77777777777778,0.00023932883824555315,9
5,52,6.0,1.6520673726542142e-06,1
22,65,49.0,0.00421753689296179,1
10,59,11.0,0.00014357750710257929,16
28,66,95.0,0.007408657457916931,1
27,63,82.82352941176471,0.0018247059884013213,17
6,59,7.0,0.00014630494422593056,70
36,63,243.0,0.0019945868054069573,1
13,59,17.0,0.00013734972177525777,3
32,66,149.33802816901408,0.00839035746189926,71
31,65,131.88636363636363,0.005858676150332379,176
0,9,1.0,3.2638876114699694e-18,1
2,61,3.0,0.00036010525399281376,46
0,40,1.0,1.2145558751127378e-09,1
30,64,117.03846153846153,0.0033847306486250867,26
23,61,52.666666666666664,0.0005434435616730542,3
4,59,5.0,0.00013928113216458995,275
20,64,36.720588235294116,0.0024659464808016733,68
8,62,9.0,0.0007246646013622015,83
25,64,65.57894736842105,0.0031236239808037354,171
38,66,296.59574468085106,0.011220498838175557,94
5,58,6.0,7.540229342913962e-05,50
49,68,1056.057142857143,0.03341991066458981,35
17,61,26.0625,0.00048169998350096495,16
24,65,59.04347826086956,0.004354797122147022,23
42,68,487.0,0.027007448544463495,1
5,55,6.0,1.1450666880688437e-05,4
10,60,11.0,0.0002658289502065459,50
1,52,2.0,1.8362149958203389e-06,46
15,57,20.0,3.9223780092999875e-05,1
33,66,167.92857142857142,0.008832252765500499,98
54,66,1781.0,0.012938687515734338,1
2,51,3.0,9.75689774506105e-07,6
1,57,2.0,4.0087718330871325e-05,566
0,47,1.0,8.47191793336471e-08,66
40,65,375.5,0.006320082678654557,2
12,58,14.5,7.490271294268965e-05,4
1,46,2.0,4.209155002746675e-08,1
50,68,1196.0277777777778,0.03604521587378349,36
0,44,1.0,1.3029517000413428e-08,10
16,64,23.333333333333332,0.002210514346584125,3
1,50,2.0,5.157707800919705e-07,20
4,56,5.0,2.1562739742007834e-05,7
8,59,9.0,0.00013527024072965387,28
35,64,211.8,0.003199541667098943,5
5,61,6.0,0.0004228976254649085,333
19,62,32.513888888888886,0.0009476600050091478,72
27,64,83.32203389830508,0.0032409535836400837,118
0,54,1.0,6.095664793260368e-06,708
11,57,12.0,5.1591043393139174e-05,1
45,66,675.0,0.010780806596052026,3
7,58,8.0,7.374990298578982e-05,6
26,65,74.0,0.004574569349117301,99
1,55,2.0,1.1212911958520294e-05,185
0,57,1.0,3.8805885754226955e-05,1812
16,62,22.958715596330276,0.0009094857387532613,218
21,60,40.333333333333336,0.00028567300818233514,3
11,60,12.415384615384616,0.0002724293002426271,65
2,52,3.0,1.8391178371064376e-06,14
22,64,46.55345911949686,0.002754080926081948,159
53,68,1681.3157894736842,0.04010315154481326,19
0,48,1.0,1.5614480471667776e-07,146
18,60,28.5,0.0002548396206335083,2
42,65,460.0,0.006187983153497948,2
0,6,1.0,4.2455487051641844e-19,2
13,62,16.451263537906136,0.0008756018885486624,277
36,66,236.29559748427673,0.010499806182972724,159
3,58,4.0,7.834582780835868e-05,165
12,56,14.0,1.921672297245243e-05,1
14,57,19.0,4.244461585884968e-05,1
14,61,18.428571428571427,0.0005097507568818561,63
4,61,5.0,0.00040487743064303007,263
18,64,29.318181818181817,0.0023856878246043076,22
8,56,9.0,2.703324208641255e-05,1
5,57,6.0,4.2131401752317395e-05,19
15,58,20.5,8.59011164028609e-05,2
47,66,830.0,0.013248947972684659,1
19,61,32.23529411764706,0.0005276071004199672,17
0,45,1.0,2.3412136584252925e-08,17
0,51,1.0,9.652025484874334e-07,352
20,62,36.46511627906977,0.0009430396355029232,43
29,64,104.57142857142857,0.00330090868346485,49
26,63,74.2,0.0018143077017580389,20
7,62,8.0,0.0006807860632937798,57
21,63,40.85549132947977,0.0017494574359611758,173
28,65,93.96932515337423,0.0049872924130159235,163
11,59,12.368421052631579,0.0001468182395017706,19
2,57,3.0,4.105513707383996e-05,191
17,58,27.0,9.411816259516596e-05,1
22,60,44.0,0.00020452189875708594,1
12,60,14.413793103448276,0.00026516317669734264,29
37,66,264.83,0.01101807912921096,100
18,59,28.0,0.0001764163444436891,1
