# mode, bound, levels, #non-zeros, #tree-node, earth_value, tree_nodes
2
60,70
27,66,6.491853096329675
51,69,4.321928094887363
10,63,8.31741261376487
1,53,2.321928094887362
0,59,12.809366207816078
33,67,4.459431618637297
11,62,8.672425341971495
1,58,9.564149489985732
57,69,2.584962500721156
58,69,1.584962500721156
34,65,1.0
3,60,9.640244936222345
41,68,5.247927513443585
0,5,2.584962500721156
0,7,2.807354922057604
5,62,9.96289600533726
19,63,5.672425341971495
27,65,7.614709844115208
0,53,6.044394119358453
6,61,8.622051819456376
26,64,3.169925001442312
0,56,10.101975670949232
11,61,4.954196310386875
2,55,2.0
0,43,2.807354922057604
53,69,4.321928094887363
34,66,6.845490050944376
18,63,6.087462841250339
13,63,9.149747119504681
3,59,7.03342300153745
44,67,1.0
1,57,7.86418614465428
24,64,5.357552004618084
43,68,6.22881869049588
0,50,3.321928094887362
6,62,9.870364719583405
29,65,5.426264754702098
23,64,5.977279923499917
7,63,7.475733430966398
31,66,8.011227255423254
2,56,2.807354922057604
22,63,1.584962500721156
15,62,4.857980995127572
37,67,7.266786540694901
55,69,3.321928094887362
48,69,2.0
3,54,1.0
0,4,1.584962500721156
43,67,2.584962500721156
9,60,2.807354922057604
6,59,2.584962500721156
1,62,6.554588851677638
22,65,8.204571144249204
31,65,3.169925001442312
2,61,11.384244122243079
4,59,5.554588851677638
20,64,8.442943495848729
8,62,9.159871336778389
25,64,3.321928094887362
5,58,2.0
0,55,9.162391328756906
9,63,8.224001674198105
24,65,8.442943495848729
10,60,1.584962500721156
1,52,1.584962500721156
0,60,12.458919206967591
33,66,7.321928094887363
35,67,7.098032082960526
0,47,3.169925001442312
2,62,8.980139577639157
50,68,3.321928094887362
11,64,2.807354922057604
3,63,1.0
16,64,8.60733031374961
8,59,1.0
22,64,7.247927513443585
19,62,1.584962500721156
49,69,4.087462841250339
0,44,2.584962500721156
26,65,8.375039431346925
1,55,5.285402218862249
0,57,11.049848549450562
16,62,4.321928094887363
4,60,8.479780264029099
5,61,9.43879185257826
12,63,9.467605550082997
34,67,6.475733430966398
13,62,6.539158811108031
36,66,3.584962500721156
3,58,5.129283016944966
13,64,6.6865005271832185
4,61,10.139551352398794
18,64,8.527477006060396
0,0,1.0
0,54,8.092757140919852
0,45,2.0
0,51,4.523561956057013
6,63,6.857980995127572
20,62,1.0
54,69,3.9068905956085187
26,66,5.392317422778761
0,38,1.0
7,62,9.590587049915035
21,63,3.0
28,65,6.882643049361842
2,57,5.392317422778761
10,64,1.0
0,41,1.0
4,63,4.0
23,63,1.0
39,67,7.159871336778389
3,57,2.584962500721156
14,62,5.614709844115208
15,64,7.60733031374961
15,63,8.03342300153745
40,68,3.0
0,48,2.321928094887362
6,60,5.857980995127572
1,61,11.456867738380343
7,61,7.7414669864011465
2,58,7.011227255423254
0;1.0;-1;61,62,63;(30, 65);(20, 65);(8, 63);(9, 62);(10, 61);(17, 63);(0, 61);(1, 56);(6, 61);(12, 64);(17, 64);(30, 66);(3, 62);(4, 57);(8, 60);(25, 66);(5, 60);(19, 65);(0, 55);(10, 62);(1, 54);(0, 58);(16, 63);(11, 63);(2, 53);(1, 59);(17, 62);(14, 64);(36, 67);(3, 61);(4, 62);(18, 65);(5, 63);(0, 52);(6, 60);(20, 63);(28, 66);(2, 54);(13, 64);(21, 65);(12, 61);(18, 62);(3, 56);(14, 63);(15, 62);(29, 66);(1, 60);(23, 65);(7, 60);(2, 59);(23, 63);(3, 55);(9, 61);(32, 65);(2, 60);(35, 66);(4, 58);(8, 61);(25, 65);(5, 59);(19, 64);(27, 66);(24, 64);(10, 63);(1, 53);(0, 59);(33, 67);(11, 62);(1, 58);(34, 65);(3, 60);(4, 63);(5, 62);(19, 63);(27, 65);(0, 53);(21, 64);(26, 64);(0, 56);(11, 61);(2, 55);(12, 62);(34, 66);(18, 63);(13, 63);(3, 59);(1, 57);(4, 60);(0, 50);(6, 62);(29, 65);(23, 64);(7, 63);(31, 66);(2, 56);(22, 63);(37, 67);(3, 54);(9, 60);(22, 65);(6, 59);(1, 62);(32, 66);(31, 65);(2, 61);(2, 58);(4, 59);(20, 64);(8, 62);(25, 64);(5, 58);(9, 63);(24, 65);(10, 60);(1, 52);(0, 60);(33, 66);(35, 67);(2, 62);(11, 64);(3, 63);(16, 64);(8, 59);(22, 64);(19, 62);(0, 54);(26, 65);(1, 55);(0, 57);(7, 59);(11, 60);(5, 61);(12, 63);(34, 67);(13, 62);(36, 66);(3, 58);(14, 61);(4, 61);(18, 64);(0, 51);(6, 63);(20, 62);(26, 66);(7, 62);(21, 63);(28, 65);(2, 57);(10, 64);(3, 57);(14, 62);(15, 64);(15, 63);(16, 62);(1, 61);(7, 61);(13, 61)
1;1.0;-1;0;(39, 67);(40, 67);(43, 68);(42, 68);(45, 68);(41, 67);(43, 67);(38, 67);(44, 68);(41, 68);(42, 67);(44, 67);(40, 68)
2;1.0;-1;0;(49, 69);(48, 69);(48, 68);(46, 68);(50, 69);(51, 68);(50, 68);(51, 69);(52, 69);(53, 69);(47, 68);(49, 68)
61;8.2;0;64,66;(5, 62);(14, 63);(1, 57);(6, 61);(15, 62);(0, 56);(8, 63);(11, 61);(11, 64);(3, 63);(9, 62);(12, 62);(1, 60);(7, 60);(10, 61);(13, 63);(2, 59);(3, 59);(2, 60);(0, 54);(1, 56);(4, 60);(1, 55);(0, 57);(0, 61);(3, 62);(5, 61);(3, 61);(9, 61);(12, 63);(7, 63);(13, 62);(5, 60);(2, 62);(13, 64);(4, 61);(10, 62);(1, 54);(0, 58);(11, 63);(1, 59);(6, 63);(2, 61);(7, 62);(0, 60);(8, 61);(14, 64);(2, 57);(5, 59);(4, 62);(1, 62);(3, 58);(10, 63);(6, 62);(0, 59);(5, 63);(11, 62);(14, 62);(1, 58);(6, 60);(12, 64);(4, 59);(8, 62);(1, 61);(3, 60);(0, 55);(9, 63);(12, 61);(10, 64);(4, 63);(7, 61);(2, 58)
62;8.2;0;0;(20, 64);(19, 63);(17, 64);(16, 63);(21, 64);(18, 64);(21, 65);(20, 63);(20, 65);(15, 63);(17, 63);(19, 64);(21, 63);(18, 63);(19, 65);(16, 64);(15, 64);(18, 65)
63;8.2;0;0;(27, 65);(26, 65);(26, 64);(26, 66);(24, 65);(25, 64);(22, 65);(23, 64);(25, 65);(23, 65);(25, 66);(27, 66);(24, 64);(22, 64)
64;8.4;61;0;(5, 62);(1, 57);(6, 61);(0, 56);(8, 63);(3, 63);(9, 62);(1, 60);(7, 60);(3, 61);(6, 62);(2, 59);(3, 59);(2, 60);(0, 54);(1, 56);(4, 60);(1, 55);(0, 57);(0, 61);(3, 62);(5, 61);(9, 61);(7, 63);(5, 60);(0, 55);(4, 61);(2, 62);(1, 54);(0, 58);(1, 59);(6, 63);(2, 61);(7, 62);(0, 60);(8, 61);(2, 57);(5, 59);(4, 62);(1, 62);(3, 58);(0, 59);(5, 63);(1, 58);(6, 60);(4, 59);(8, 62);(3, 60);(9, 63);(1, 61);(4, 63);(7, 61);(2, 58)
66;8.4;61;0;(10, 63);(10, 62);(14, 63);(11, 62);(12, 64);(11, 63);(15, 62);(14, 62);(11, 61);(11, 64);(13, 62);(12, 63);(12, 62);(12, 61);(10, 64);(10, 61);(13, 63);(13, 64);(14, 64)
